Country or Area,Element,Year,Unit,Value,Value Footnotes
Colombia,Production,1979,tonnes,243100,
Colombia,Production,1978,tonnes,241400,
Colombia,Production,1977,tonnes,239700,
Colombia,Production,1976,tonnes,248400,
Colombia,Production,1975,tonnes,176640,
Colombia,Production,1974,tonnes,192720,
Colombia,Production,1973,tonnes,170000,F
Colombia,Production,1972,tonnes,158900,
Colombia,Production,1971,tonnes,152300,
Colombia,Production,1970,tonnes,145000,
Colombia,Production,1969,tonnes,140000,F
Colombia,Production,1968,tonnes,134500,F
Colombia,Production,1967,tonnes,130000,F
Colombia,Production,1966,tonnes,125000,F
Colombia,Production,1965,tonnes,43400,
Colombia,Production,1964,tonnes,42200,
Colombia,Production,1963,tonnes,41100,
Colombia,Production,1962,tonnes,40000,
Colombia,Production,1961,tonnes,38500,
,,,,,
fnSeqID,Footnote,,,,
*,Unofficial figure,,,,
F,FAO estimate,,,,
Fc,Calculated data,,,,
Im,FAO data based on imputation methodology,,,,
