Country or Area,Element,Year,Unit,Value,Value Footnotes
Colombia,Protein supply quantity (g/capita/day),1994,g/capita/day,0.16,Fc
Colombia,Protein supply quantity (g/capita/day),1993,g/capita/day,0.2,Fc
Colombia,Protein supply quantity (g/capita/day),1992,g/capita/day,0.19,Fc
Colombia,Protein supply quantity (g/capita/day),1991,g/capita/day,0.01,Fc
Colombia,Protein supply quantity (g/capita/day),1990,g/capita/day,0.05,Fc
Colombia,Protein supply quantity (g/capita/day),1989,g/capita/day,0.16,Fc
Colombia,Protein supply quantity (g/capita/day),1988,g/capita/day,0.15,Fc
Colombia,Protein supply quantity (g/capita/day),1987,g/capita/day,0.11,Fc
Colombia,Protein supply quantity (g/capita/day),1986,g/capita/day,0.02,Fc
Colombia,Protein supply quantity (g/capita/day),1985,g/capita/day,0.09,Fc
Colombia,Protein supply quantity (g/capita/day),1984,g/capita/day,0.04,Fc
Colombia,Protein supply quantity (g/capita/day),1983,g/capita/day,0.08,Fc
Colombia,Protein supply quantity (g/capita/day),1982,g/capita/day,0.05,Fc
Colombia,Protein supply quantity (g/capita/day),1981,g/capita/day,0.03,Fc
Colombia,Protein supply quantity (g/capita/day),1980,g/capita/day,0.07,Fc
Colombia,Protein supply quantity (g/capita/day),1979,g/capita/day,0.13,Fc
Colombia,Protein supply quantity (g/capita/day),1978,g/capita/day,0.14,Fc
Colombia,Protein supply quantity (g/capita/day),1977,g/capita/day,0.29,Fc
Colombia,Protein supply quantity (g/capita/day),1976,g/capita/day,0.3,Fc
Colombia,Protein supply quantity (g/capita/day),1975,g/capita/day,0.38,Fc
Colombia,Protein supply quantity (g/capita/day),1974,g/capita/day,0.35,Fc
Colombia,Protein supply quantity (g/capita/day),1973,g/capita/day,0.44,Fc
Colombia,Protein supply quantity (g/capita/day),1972,g/capita/day,0.4,Fc
Colombia,Protein supply quantity (g/capita/day),1971,g/capita/day,0.37,Fc
Colombia,Protein supply quantity (g/capita/day),1970,g/capita/day,0.33,Fc
Colombia,Protein supply quantity (g/capita/day),1969,g/capita/day,0.26,Fc
Colombia,Protein supply quantity (g/capita/day),1968,g/capita/day,0.19,Fc
Colombia,Protein supply quantity (g/capita/day),1967,g/capita/day,0.28,Fc
Colombia,Protein supply quantity (g/capita/day),1966,g/capita/day,0.26,Fc
Colombia,Protein supply quantity (g/capita/day),1965,g/capita/day,0.28,Fc
Colombia,Protein supply quantity (g/capita/day),1964,g/capita/day,0.3,Fc
Colombia,Protein supply quantity (g/capita/day),1963,g/capita/day,0.29,Fc
Colombia,Protein supply quantity (g/capita/day),1962,g/capita/day,0.31,Fc
Colombia,Protein supply quantity (g/capita/day),1961,g/capita/day,0.3,Fc
Colombia,Fat supply quantity (g/capita/day),2013,g/capita/day,0.03,Fc
Colombia,Fat supply quantity (g/capita/day),2012,g/capita/day,0.01,Fc
Colombia,Fat supply quantity (g/capita/day),2011,g/capita/day,0.01,Fc
Colombia,Fat supply quantity (g/capita/day),2010,g/capita/day,0.02,Fc
Colombia,Fat supply quantity (g/capita/day),2009,g/capita/day,0.01,Fc
Colombia,Fat supply quantity (g/capita/day),2008,g/capita/day,0.02,Fc
Colombia,Fat supply quantity (g/capita/day),2007,g/capita/day,0.01,Fc
Colombia,Fat supply quantity (g/capita/day),2006,g/capita/day,0.02,Fc
Colombia,Fat supply quantity (g/capita/day),2005,g/capita/day,0.01,Fc
Colombia,Fat supply quantity (g/capita/day),2004,g/capita/day,0.01,Fc
Colombia,Fat supply quantity (g/capita/day),2003,g/capita/day,0.01,Fc
Colombia,Fat supply quantity (g/capita/day),2002,g/capita/day,0.01,Fc
